"Sample_ID","Species_Name","Scientific_Name","PacFIN_Species_Code","RecFIN_Species_Code","Year","Project_ID","Capture_Date","CRFS_District","Port","Vessel","CDFW_Vessel_Number","Institution","Fork_Length_mm","Sex","Maturity","Comments"
"202405-1012-04990-GSPT-81","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-05-29,"District 1 - South","Marina Del Rey","Betty-O","04990","NMFS",290,"F","1","MEASURED TO WHOLE AND HALD MM; FILLETED THROUGH BODY CAVITY - HARD TO SEX; S7"
"202311-1012-12758-GSPT-545","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-12-15,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",258,"M","1",NA
"202310-1012-06810-GSPT-1010","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-10-12,"District 5 - Wine","Fort Bragg","Kyndall Lynn","06810","SIO",395,"M","1","IDENTIFIED AS CANARY BUT ACTUALLY GREENSPOTTED"
"202410-1012-12758-GSPT-651","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-27,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",349,"M","1",NA
"202408-1012-12758-GSPT-408","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-08-30,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",298,"M","0",NA
"202406-1012-16699-GSPT-160","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-06-01,"District 1 - South","Long Beach","Eldorado","16699","NMFS",430,"M","1",NA
"202306-1012-29746-GSPT-446","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-06-16,"District 4 - San Francisco","Emeryville","Sea Wolf","29746","NMFS",312,"M","1","Dave & Neosha assigned sample # 295 , S"
"202306-1012-38325-GSPT-45","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-06-24,"District 3 - Central","Moss Landing","Kahuna","38325","MLML",304,"M","0",NA
"202404-1012-73861-GSPT-59","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-04-18,"District 3 - Central","Santa Cruz","Big Anchovy","73861","MLML",336,"M","1","1 otolith broken"
"202311-1012-12758-GSPT-444","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-11-20,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",320,"F","0",NA
"202408-1012-39022-GSPT-572","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-08-29,"District 2 - Channel","Santa Barbara","Stardust","39022","UCSB",221,"F","1",NA
"202411-1012-12758-GSPT-827","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-11-29,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",245,"M","0",NA
"202410-1012-33680-GSPT-296","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-18,"District 3 - Central","Morro Bay","Fiesta","33680","CP",390,"M","1",NA
"202404-1012-03233-GSPT-34","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-04-17,"District 1 - South","San Diego","Premier","03233","SIO",272,"F","1","STAGE 7 (RESTING)"
"202311-1012-12758-GSPT-559","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-12-15,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",326,"F","0",NA
"202311-1012-28054-GSPT-821","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-11-25,"District 2 - Channel","Channel Islands","Mirage","28054","SIO",376,"F","1","STAGE 6"
"202405-1012-28054-GSPT-180","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-05-31,"District 2 - Channel","Channel Islands","Mirage","28054","UCSB",321,"M","1",NA
"202406-1012-39022-GSPT-300","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-06-29,"District 2 - Channel","Santa Barbara","Stardust","39022","UCSB",328,"M","1",NA
"202408-1012-39045-GSPT-518","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-08-29,"District 1 - South","Mission Bay","Outer Limits","39045","SIO",420,"F","1","STAGE 7"
"202410-1012-39022-GSPT-668","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-17,"District 2 - Channel","Santa Barbara","Stardust","39022","UCSB",297,"F","1",NA
"202307-1012-73873-GSPT-20","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-07-03,"District 3 - Central","Moss Landing","Last Meal","73873","MLML",368,"F","1",NA
"202412-1012-28054-GSPT-793","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-11-09,"District 2 - Channel","Channel Islands","Mirage","28054","UCSB",339,"F","1",NA
"202310-1012-06810-GSPT-1031","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-10-29,"District 5 - Wine","Fort Bragg","Kyndall Lynn","06810","SIO",315,"F","1","STAGE 5"
"202308-1012-33680-GSPT-71","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-08-04,"District 3 - Central","Morro Bay","Fiesta","33680","CP",310,"M","0",NA
"202405-1012-28054-GSPT-187","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-05-31,"District 2 - Channel","Channel Islands","Mirage","28054","UCSB",289,"F","1",NA
"202306-1012-03233-GSPT-63","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-06-23,"District 1 - South","San Diego","Premier","03233","SIO",336,"F","1",NA
"202410-1012-39022-GSPT-670","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-17,"District 2 - Channel","Santa Barbara","Stardust","39022","UCSB",349,"M","1",NA
"202405-1012-12758-GSPT-152","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-05-29,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",260,"M","0",NA
"202406-1012-28054-GSPT-271","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-06-09,"District 2 - Channel","Channel Islands","Mirage","28054","UCSB",394,"F","1",NA
"202410-1012-28054-GSPT-761","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-25,"District 2 - Channel","Channel Islands","Mirage","28054","UCSB",393,"M","1",NA
"202410-1012-28054-GSPT-758","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-25,"District 2 - Channel","Channel Islands","Mirage","28054","UCSB",357,"F","1",NA
"202406-1012-39022-GSPT-309","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-06-30,"District 2 - Channel","Santa Barbara","Stardust","39022","UCSB",272,"F","1",NA
"202410-1012-12758-GSPT-636","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-27,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",296,"F","1",NA
"202311-1012-12758-GSPT-591","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-12-15,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",336,"F","1",NA
"202311-1012-05978-GSPT-375","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-11-28,"District 5 - Wine","Shelter Cove","Sea Hawk","05978","HSU",397,"F","1",NA
"202311-1012-12758-GSPT-550","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2023","1012",2023-12-15,"District 2 - Channel","Santa Barbara","Coral Sea","12758","UCSB",321,"F","1",NA
"202408-1012-39022-GSPT-482","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-08-23,"District 2 - Channel","Santa Barbara","Stardust","39022","UCSB",286,"M","0",NA
"202404-1012-06810-GSPT-3","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-04-25,"District 5 - Wine","Fort Bragg","Kyndall Lynn","06810","BML",290,"F","1","Frozen no fin clips collected"
"202410-1012-06810-GSPT-785","Greenspotted Rockfish","Sebastes chlorostictus","GSPT",8826010143,"2024","1012",2024-10-10,"District 5 - Wine","Fort Bragg","Kyndall Lynn","06810","BML",335,"M","1",NA
